method,dice,sensitivity,precision,iou
C6_Gabor_P10,0.3960555594609152,0.4408976981077998,0.390269742558465,0.24979694415739803
C6_Triple_P10,0.39053933837751265,0.4358814242509113,0.38449651505133897,0.24586811658695074
C6_DoG_P10,0.38371092859482603,0.42626222897760274,0.37927878147123384,0.24025865731096316
C6_Gabor_Fused_P10,0.3830177213282733,0.42831476105398647,0.37648681511637677,0.24005032233201606
FlatSub+G6_combined_P10,0.37785440047503716,0.42226867119497885,0.37163180956030784,0.2356938708830063
MultiFused_P10,0.37666519350430466,0.42124888031801166,0.37035515184890516,0.23496837287428068
C6_Triple_Elbow,0.3752280596385,0.544159174701743,0.30560305280381445,0.23512062296535774
C6_DoG_Hyst,0.37226432212538,0.5380822149744201,0.32569051160750867,0.23456348294031804
C6_Gabor_Elbow,0.3715606002451497,0.5365461526733992,0.30319156035689937,0.23213706658235767
C6_DoG_Elbow,0.37100692951994585,0.5353076545349421,0.3030068455981144,0.23198235816528706
C6_Gabor_Fused_Elbow,0.3697889546605691,0.5371422018586377,0.3009165980780428,0.2308470654843017
C6_Triple_Hyst,0.3669894403714523,0.5386714785333065,0.33090829835531677,0.2316752943109341
C6_Gabor_Fused_Hyst,0.36539758644623843,0.5147774954705245,0.3325942270347819,0.23002723166814984
C4G4_combined_P10,0.3648412128103643,0.4095560347101614,0.35756340929739766,0.22597256283868697
MultiFused_Elbow,0.36421680815916846,0.5290528619383439,0.2964819068683503,0.2264962123000031
C6G6_combined_Hyst,0.36346903369533445,0.47958078147211564,0.3349151665607125,0.2268036745468255
C4G4_combined_Elbow,0.3633491361798801,0.5286993680583179,0.2955081127234903,0.22585509541993817
C6G6_combined_P10,0.36324519536748495,0.4070259386658325,0.3566239646176547,0.22491528091445517
C6G6_combined_Elbow,0.3583288368118143,0.521200641799565,0.2914721142134069,0.2220632457437623
MultiFused_Hyst,0.358118730774004,0.5043494990148225,0.335436006004831,0.22376733933512805
FlatSub+G6_combined_Elbow,0.35737769723278945,0.5202927482556535,0.2904296668079421,0.22092648027636158
C4G4_combined_Hyst,0.3461245619471447,0.5322264527691323,0.30931048380069465,0.21507327244645888
C6_Gabor_Hyst,0.31664034189166335,0.6204957311704482,0.28550020670961074,0.19792379338183333
FlatSub+G6_combined_P10Cln,0.29767475275321964,0.31501973959462326,0.3421142020394289,0.17924967821910393
C6_DoG_P10Cln,0.2864572256216017,0.2943303406440877,0.359220064225537,0.17227339756431662
FlatSub+G6_combined_Hyst,0.2845029663771524,0.7247574084433951,0.1843239140663105,0.16942644874232252
MultiFused_P10Cln,0.24563261104024187,0.24763272000207567,0.35373739365761203,0.1477453859084718
C4G4_TriClean_Hyst,0.2414640279716301,0.15794153934968155,0.5995281292670038,0.14084531330762515
C6_Triple_P10Cln,0.2396541860200517,0.24062360961309287,0.36041906289640135,0.14397644813336644
C6_DoG_ElbowCln,0.23141728951388987,0.3199471793979101,0.2286607837498408,0.13586775333946494
C6G6_combined_P10Cln,0.22671141961984423,0.230795005446419,0.36742562514320637,0.13460719345848995
C4G4_TriClean_HystCln,0.21830575724549156,0.139915030540312,0.7099243025785895,0.1276011981095768
C4G4_combined_P10Cln,0.21790959382127756,0.21195020474799367,0.3857848375427665,0.12838109168775552
C6_DoG_HystCln,0.21409074970131753,0.2650712272771843,0.25224260053402364,0.12784318005258688
FlatSub+G6_P10_ElbowCln,0.21082339232207067,0.12595006997923797,0.7284760655306421,0.11937480278918944
C6G6_TriClean_Hyst,0.20969593000157868,0.13329954493086035,0.6299640890036489,0.12106483907336789
FlatSub+G6_P10_Elbow,0.20664774478660247,0.1259154831943179,0.6598338440684172,0.11668743632582852
C6G6_TriClean_HystCln,0.19922333271620546,0.1234623351154857,0.6975771972370456,0.11430885637969072
C6_Gabor_Fused_P10Cln,0.19541117914801173,0.19969825735787786,0.3363228270346967,0.11549151664654796
C6G6_TriClean_Elbow,0.18965706617400174,0.11157086165468935,0.6659411479801733,0.106310878579943
C6G6_TriClean_ElbowCln,0.18678174099569536,0.10850786238144976,0.7453544993352249,0.10465978980939569
C4G4_TriClean_ElbowCln,0.18058634163261325,0.10385747623327865,0.753276466808772,0.10051736407454423
C4G4_TriClean_Elbow,0.17961839584044356,0.1046637977419703,0.651725463691837,0.09995311047313633
FlatSub+G6_combined_ElbowCln,0.17064139029531783,0.25981604038639206,0.16225207743167916,0.09769867908734559
C6G6_combined_HystCln,0.16427892598015859,0.15012659705262466,0.30145161660021896,0.09746120539235638
C6G6_P10_ElbowCln,0.16227690949897852,0.09220614113389115,0.753842954186189,0.08960261141436623
FlatSub+G6_P10_HystCln,0.15969720854504282,0.0906049024720852,0.7621270271581297,0.08779954690526101
FlatSub+G6_P10_Hyst,0.15745970363533549,0.09067418470886668,0.6870074976635742,0.08643367630549645
FlatSub+G6_TriClean_HystCln,0.15654724321966637,0.08861250350552366,0.764990865818618,0.0859535224140589
C6G6_P10_Elbow,0.15629398238507308,0.09489426019459066,0.5114428562585732,0.08578511534303138
FlatSub+G6_TriClean_Hyst,0.15572955683226813,0.0881233587797873,0.7618299907989764,0.0854656682630064
MultiFused_ElbowCln,0.15383093183783064,0.2148410410408284,0.18193328290634672,0.08734379298128318
MultiFused_HystCln,0.15204354601892386,0.13667334124300762,0.25133627807685616,0.09237019762505341
C4G4_P10_ElbowCln,0.14805483200924613,0.08260416566115422,0.7636476485714929,0.08068878795530313
C6_Gabor_P10Cln,0.14492474747744288,0.13322729097425257,0.24478787688338474,0.08563216551388435
C6G6_combined_ElbowCln,0.13927865976185222,0.18209562688740236,0.19371072459663474,0.07794476517735496
