method,dice,sensitivity,precision,iou
gabor_P08,0.39937273545386004,0.4038756282267016,0.4309475602377377,0.25209990266026117
gabor_P10,0.3986825867781546,0.4495817619088218,0.3876920795301738,0.2520286681832239
fused_P10,0.39338367852896117,0.44497921747192626,0.38199351440796403,0.24850436909715692
fused_P08,0.39054379114099,0.3959355528841868,0.42109073333764685,0.24593048948537613
fused_Entropy,0.3869699430627476,0.3530323925528983,0.45420634016185846,0.24361354885840641
gabor_Entropy,0.3798807384465145,0.315936797181133,0.5009975766171342,0.23773828214913778
almeida_Hyst,0.3631939525653763,0.47295067656629786,0.3331085845717475,0.22690293390809527
almeida_P10,0.3615154713330241,0.41078065529877816,0.3499733658337606,0.22410156483489715
almeida_Entropy,0.35796826654229613,0.34899184678769857,0.38689704333077823,0.2213229671519843
almeida_P08,0.35261294352730954,0.359072577334684,0.37872050290093573,0.21731473338474266
fused_Hyst,0.3518219797766864,0.5852605102733,0.31386068768602865,0.22261204250859667
gabor_Hyst,0.30538342296425075,0.6434348687950444,0.26966072679198083,0.19038835148572972
almeida_RegionGrow,0.28054779913848793,0.7649433460785133,0.178376752944309,0.16710779883037769
fused_RegionGrow,0.27246394513823746,0.774643118018212,0.17086127714839597,0.1611324247494807
almeida_P08_iClean,0.26452283139457133,0.22535860493960294,0.5044386043904281,0.1624270260753498
gabor_RegionGrow,0.25619208146641936,0.7559737751346292,0.15921284757981327,0.1499304629181711
almeida_P10_iClean,0.2550302707029726,0.23579717070478762,0.44018679917440084,0.155000825456083
almeida_P10_FillGap,0.2550302707029726,0.23579717070478762,0.44018679917440084,0.155000825456083
fused_P08_iClean,0.2407009924646425,0.2034863617940292,0.4709494522762089,0.14627217645450213
gabor_P08_iClean,0.2247081689092707,0.19048962953223592,0.4187269460997951,0.1342774969859143
almeida_EntSeedGrow,0.22404513428282039,0.8452727994837672,0.13245384283409672,0.12860348920790812
fused_EntSeedGrow,0.22189197507872824,0.849727581378056,0.13085149435973648,0.12720886612694982
gabor_EntSeedGrow,0.21416193017790558,0.8287309242074565,0.12587162130317187,0.12203965502462999
fused_P10_iClean,0.20212238701993807,0.190388780685449,0.3568135389880836,0.12182905885374358
fused_P10_FillGap,0.20212238701993807,0.190388780685449,0.3568135389880836,0.12182905885374358
almeida_Hyst_iClean,0.2012105062109148,0.17452980028404608,0.36168101224582005,0.11956758150208244
gabor_P10_iClean,0.14451038284649656,0.12176928473837353,0.2723843175500369,0.08422922178488375
gabor_P10_FillGap,0.14451038284649656,0.12176928473837353,0.2723843175500369,0.08422922178488375
fused_Hyst_iClean,0.0629980152126714,0.04571575402892885,0.18974694182700946,0.035279384630516636
gabor_Hyst_iClean,0.026574060023839698,0.015604243453271303,0.12413952562144687,0.013768213158145855
almeida_EntSeedGrow_iClean,0.0021570017717965828,0.0011406213500293162,0.02120614856302276,0.0010916269104746883
almeida_EntSeedGrow_FillGap,0.0021570017717965828,0.0011406213500293162,0.02120614856302276,0.0010916269104746883
gabor_EntSeedGrow_iClean,0.000310106782417818,0.00015816795386455106,0.007906215768984978,0.0001552728930550578
gabor_EntSeedGrow_FillGap,0.000310106782417818,0.00015816795386455106,0.007906215768984978,0.0001552728930550578
fused_EntSeedGrow_iClean,0.00026162747196660486,0.00014184007989519095,0.002670375917738654,0.00013088495210830157
fused_EntSeedGrow_FillGap,0.00026162747196660486,0.00014184007989519095,0.002670375917738654,0.00013088495210830157
