method,dice,sensitivity,precision
gabor_median7_P10,0.42305935073533285,0.4753762532369705,0.41209678035084735
gabor_median7_P12,0.41992075493708114,0.5159164280316015,0.3800926291072717
gabor_median7_P08,0.4179924999887648,0.4218941447854928,0.4516204020598543
gabor_bilateral_P10,0.4165920792694523,0.46723861271665035,0.4059689521926849
gabor_gauss_P10,0.4160264412656196,0.4696929995121557,0.4040356294747157
gabor_median5_P10,0.41579875182464776,0.46744486896933035,0.4055488333429829
gabor_median5_consensus_3of5,0.41579875182464776,0.46744486896933035,0.4055488333429829
gabor_median5_P08,0.4137293913994612,0.41742600588903866,0.44684175274282745
gabor_median5_consensus_4of5,0.4137293913994612,0.41742600588903866,0.44684175274282745
gabor_gauss_P08,0.4132921457517065,0.4183830064833406,0.44541014290772096
gabor_bilateral_P08,0.4131800228677843,0.41583481159060104,0.44679432375002714
gabor_median53_P10,0.41206349722286517,0.4648464138812917,0.40062770816108184
gabor_bilateral_P12,0.4116320525577928,0.5090556285090455,0.37192299201888956
gabor_median5_P12,0.41147083176877214,0.5071680035190853,0.37183225700657835
gabor_median5_consensus_2of5,0.41147083176877214,0.5071680035190853,0.37183225700657835
gabor_gauss_P12,0.41070179529102474,0.5107921707457972,0.3692115692161718
gabor_median53_P08,0.4106037289671584,0.4156494589029795,0.44254870970967175
gabor_median53_P12,0.40617811078757,0.5044781016203281,0.3655190527294214
gabor_stick_P10,0.4048987762048258,0.4546379522557603,0.394488085676963
gabor_median3_P10,0.4048878261186021,0.45497682793242444,0.39440983048809364
fused_median5_P10,0.40469255233047774,0.4566831888767332,0.39329383882611385
fused_median5_consensus_3of5,0.40469255233047774,0.4566831888767332,0.39329383882611385
fused_gauss_P10,0.4046881399188199,0.45826431930506845,0.3924499411813713
gabor_median3_P08,0.4043302068297101,0.4085656931461848,0.43667066435852536
gabor_stick_P08,0.4039541999433287,0.40751750379923307,0.43707423791620403
fused_median53_P10,0.403169933184757,0.4563580867029275,0.3912047750353113
fused_median5_P12,0.4027741372285226,0.5002752921012523,0.3620689331827866
fused_median5_consensus_2of5,0.4027741372285226,0.5002752921012523,0.3620689331827866
fused_median7_P12,0.40272713900242835,0.5012447294161632,0.36201955399123903
fused_gauss_P12,0.4017085558389104,0.5013136448838701,0.3604990489792821
fused_median7_P10,0.40157981725474656,0.4541863714448421,0.38923267319813315
fused_bilateral_P10,0.40118632318785175,0.45382677575611674,0.3894216690854121
fused_median53_P12,0.399993056961757,0.4994540055585658,0.3588235737383611
fused_bilateral_P12,0.3995775072277909,0.49791196180450453,0.35888876559490474
gabor_stick_P12,0.3994705461093625,0.4902069989429893,0.3622829442408707
gabor_median3_P12,0.3990237304258458,0.49238675116699504,0.3604395045481011
fused_median3_P10,0.3990224236671437,0.4498171663676966,0.38836768097158814
fused_stick_P10,0.3987695197406289,0.44981499544851444,0.3876607882680798
fused_gauss_P08,0.39874672470215455,0.40466161368131826,0.42932075863277097
gabor_P10,0.3986825867781546,0.4495817619088218,0.3876920795301738
fused_median5_P08,0.3980932767557601,0.4034415760350171,0.42898959658483826
fused_median5_consensus_4of5,0.3980932767557601,0.4034415760350171,0.42898959658483826
fused_median53_P08,0.3975463119263596,0.40346339086954885,0.42803752850761734
fused_stick_P12,0.3960128223657554,0.4909862823690739,0.35659582390624944
fused_median3_P12,0.3952344028983805,0.4915873218778136,0.35538401311405576
fused_median3_P08,0.3949904275427162,0.39976957792521284,0.4264146030173259
fused_bilateral_P08,0.3946763703589484,0.4002580521382477,0.42525263428990967
fused_stick_P08,0.39348317237822134,0.39760745840140876,0.4249745649122775
fused_P10,0.39338367852896117,0.44497921747192626,0.38199351440796403
fused_median7_P08,0.39114862263311956,0.39774460848787446,0.4204851504856577
almeida_median5_P12,0.3794830423572266,0.4746077673198621,0.3397010231755959
almeida_median5_consensus_2of5,0.3794830423572266,0.4746077673198621,0.3397010231755959
almeida_median53_P12,0.3778302011722464,0.4736545146435345,0.3381366079558803
almeida_median7_P12,0.3767999514602576,0.47368451498551845,0.3362065124197243
