method,dice,sensitivity,precision
gabor_c6_median7_median7_P10,0.4271589320059761,0.4821277300390528,0.41513776146341336
gabor_c6_inv_median7_median7_P10,0.4271589320059761,0.4821277300390528,0.41513776146341336
gabor_c6_median7_P10,0.42305935073533285,0.47537625323697047,0.4120967803508474
gabor_c6_inv_median7_P10,0.42305935073533285,0.47537625323697047,0.4120967803508474
gabor_c6_median7_P12,0.41992075493708114,0.5159164280316015,0.3800926291072717
gabor_c6_inv_median7_P12,0.41992075493708114,0.5159164280316015,0.3800926291072717
gabor_c6_median7_P08,0.4179924999887648,0.4218941447854928,0.4516204020598543
gabor_c6_inv_median7_P08,0.4179924999887648,0.4218941447854928,0.4516204020598543
z_fuse_c6_best_median7_P10,0.4033910059339433,0.45590166665883247,0.3915745116009477
gabor_raw_clahe_median7_P10,0.402711396258294,0.45113503262399013,0.3926969956590788
gabor_c6_P08,0.39937273545386004,0.4038756282267016,0.4309475602377377
gabor_c6_inv_P08,0.39937273545386004,0.4038756282267016,0.4309475602377377
gabor_c6_P10,0.3986825867781546,0.4495817619088218,0.3876920795301738
gabor_c6_inv_P10,0.3986825867781546,0.4495817619088218,0.3876920795301738
z_fuse_gabor3_median7_P10,0.3956228128423964,0.4432637426298136,0.38717860621105576
z_fuse_c6_best_P10,0.3949454784869144,0.4466762858267346,0.38353318221903776
z_fuse_c6_best_P08,0.39239159709178395,0.39776818947129744,0.42308486941868073
z_fuse_gabor2_median7_P10,0.3920180771166596,0.4407209249119708,0.3818957374009563
gabor_c6_P12,0.3918278478791669,0.4867212573137158,0.3526493127189376
gabor_c6_inv_P12,0.3918278478791669,0.4867212573137158,0.3526493127189376
z_fuse_c6_best_P12,0.3904450765131806,0.48678863078794954,0.35073792685373145
z_fuse_all_median7_P10,0.3878353249065495,0.4325912593277081,0.38008726708344376
gabor_raw_clahe_P10,0.38514388742979666,0.4341073697614847,0.3747643565927167
gabor_raw_clahe_P12,0.3827674792941089,0.4752779965220048,0.3446004346863369
z_fuse_gabor3_P10,0.3816109920309726,0.43030497929582523,0.37121328628867317
z_fuse_gabor3_P12,0.3799704410084863,0.4720354925573819,0.3419779559280659
z_fuse_gabor2_P10,0.3794534845477493,0.4279561419483887,0.36906567647676425
gabor_raw_clahe_P08,0.37829847477768197,0.38211609854156614,0.4089687135875746
z_fuse_gabor2_P12,0.37809400829232365,0.4698129001022452,0.3402641499451998
z_fuse_gabor3_P08,0.37354354387733785,0.3775182455883477,0.4036751304443863
z_fuse_coh_median7_P10,0.3726291409731845,0.4165933697029191,0.36467662747231516
z_fuse_gabor2_P08,0.37075554443924397,0.3748310110970831,0.40055302151574634
almeida_c6_median7_P10,0.3684980342510769,0.4201067379837472,0.3552202211810115
almeida_c6_Hyst,0.3631939525653763,0.47295067656629786,0.3331085845717475
almeida_c6_P12,0.36301083039409954,0.45448276485029077,0.3253651210011017
almeida_c6_P10,0.3615154713330241,0.41078065529877816,0.3499733658337606
z_fuse_c6_best_Hyst,0.35475579036721483,0.5831991737009694,0.31634310834945956
almeida_c6_P08,0.35261294352730954,0.359072577334684,0.37872050290093573
z_fuse_all_P10,0.352168837510955,0.39356635157048936,0.3452001188963528
z_fuse_all_P08,0.34935594880457865,0.35024321950967746,0.38065531394118957
gabor_raw_green_P12,0.34874022154580153,0.43207276329428684,0.31456838284935723
z_fuse_all_P12,0.34736127831922864,0.4280255080394798,0.3144218466543439
gabor_raw_green_P10,0.3367374740400233,0.3768785360391011,0.3297811825885861
gabor_raw_green_median7_P10,0.32375542778392774,0.3521351884895836,0.32291272591103737
z_fuse_gabor3_Hyst,0.321246441599919,0.6187393281429026,0.27519368219853757
z_fuse_gabor2_Hyst,0.3198842373724444,0.6228424114703964,0.2729588577299825
gabor_raw_green_P08,0.31005272358140457,0.309170654784026,0.3400388893058585
