method,dice,sensitivity,precision
our_best_M7_P10,0.43319430199058634,0.48789638906640825,0.42126112713556585
our_best_P10,0.429374456663029,0.48102648647555746,0.4184302560984452
our_best_P12,0.42586056190347765,0.5259033291354414,0.3841262209206897
our_best_P08,0.4220310582118649,0.4255589853142421,0.45600237798654786
z_fused_coherence_M7_P10,0.34447299759614414,0.3092829759378522,0.42543229415125017
z_fused_M7_P10,0.3381258923019464,0.33129328253016166,0.3778220293534386
z_fused_dark_M7_P10,0.32838587199544744,0.2952153534409121,0.405080421699209
z_c6_M7_P10,0.3136000125864584,0.26866743358742423,0.4132518801450757
z_fused_coherence_P12,0.27815445064668926,0.2640891319639626,0.3236976378530909
z_fused_coherence_P10,0.2721872173558765,0.23937011531026542,0.3499363926014498
z_c6_Hyst,0.26669285438714596,0.5126534512893612,0.19682785069477643
z_fused_coherence_P08,0.2618956997769522,0.21170984057925124,0.38378929294496794
z_fused_P12,0.2576047702919412,0.26014257011237973,0.2819186750584882
z_fused_dark_P12,0.2553607949324004,0.24317585385157903,0.2960786802071923
z_fused_P10,0.25169387191482456,0.23432785956423038,0.3026839393659937
z_c6_P12,0.2505433517332175,0.2303013190012792,0.30170194123928784
z_fused_dark_P10,0.2476155295726925,0.2183701296214819,0.31705190476212963
z_fused_dark_Hyst,0.2471636726051698,0.597538898525945,0.1888123766071143
z_fused_P08,0.24118603712774797,0.2053061203698324,0.3283930908798378
z_c6_P10,0.23963625330011892,0.20590183830554173,0.3184072472065182
z_fused_dark_P08,0.23541226469933701,0.19080798884502237,0.34327347394330754
z_fused_coherence_Hyst,0.23134014893689162,0.652464940975849,0.1696294576603173
z_c6_P08,0.2272106783270995,0.18058988358852066,0.34366863943048676
our_best_Hyst,0.2217437356491377,0.9000483255073632,0.1295103000096617
z_fused_Hyst,0.20014936209136347,0.7202646863577751,0.1202471348765077
c6_M7_P10,0.142115071860498,0.161352308512022,0.13801989810830706
c6_P12,0.07151472092597683,0.0836670095428538,0.06662427544457342
c6_P10,0.0668303405699651,0.0712516936574943,0.0674352678992764
c6_P08,0.06084435158436895,0.05832737843578592,0.06880594163856729
c6_Hyst,0.0,0.0,0.0
