candidate,top_hat_weight,matched_weight,frangi_weight,jerman_weight,threshold_method,target_density,fov_erode_px,min_component_area,dice,iou,precision,sensitivity,specificity,pred_density,gt_density
tuned_hessian_frangi,0.05,0.25,0.2,0.5,percentile,0.08,12,8,0.2960596968412238,0.18142275541510025,0.41137816966495755,0.2872857130731411,0.9740921438302959,0.04073358832465278,0.07158067491319445
tuned_hessian_frangi,0.05,0.25,0.2,0.5,triangle,0.14,12,4,0.28336106386666576,0.17274117917788123,0.3847587273982693,0.2779976751719396,0.9698024597290471,0.04410684543185764,0.07158067491319445
no_frangi,0.1,0.55,0.0,0.35,triangle,0.14,12,4,0.24493535847238584,0.1456481267211592,0.32073783945290346,0.256336409744768,0.9673104001797151,0.04513426378038195,0.07158067491319445
matched_heavy,0.05,0.65,0.05,0.25,percentile,0.1,12,8,0.24398638469965964,0.14426155079722885,0.3336693024134667,0.26242300068379215,0.9676071494904246,0.04496462673611111,0.07158067491319445
matched_jerman,0.08,0.52,0.05,0.35,percentile,0.1,12,8,0.24241047376705152,0.1430992315601941,0.32661347656478024,0.26021886567069147,0.9672248295939317,0.04522535536024306,0.07158067491319445
no_frangi,0.1,0.55,0.0,0.35,hybrid,0.1,12,8,0.24235329028701166,0.14307480078188925,0.31257718170739246,0.26765914567836846,0.9634257739119935,0.04935970730251736,0.07158067491319445
no_frangi,0.1,0.55,0.0,0.35,percentile,0.1,12,8,0.2420392760019277,0.14286153629093656,0.32605439621507026,0.2600980914748704,0.9671647823699823,0.04526603190104166,0.07158067491319445
matched_heavy,0.05,0.65,0.05,0.25,triangle,0.14,12,4,0.24158649482931996,0.14374548049426994,0.32907177277580324,0.24712805286498424,0.9695051821940355,0.04247092692057292,0.07158067491319445
current_almeida,0.2,0.4,0.15,0.25,triangle,0.14,12,4,0.24155175034062726,0.14345225107343582,0.3302712242125184,0.24770536140214458,0.9683402720199575,0.04363484700520833,0.07158067491319445
no_frangi,0.1,0.55,0.0,0.35,percentile,0.12,12,8,0.24030157793825943,0.14094183852011383,0.2952780870527182,0.2826786036922734,0.9579551122579504,0.05535456000434028,0.07158067491319445
current_almeida,0.2,0.4,0.15,0.25,percentile,0.1,12,8,0.2402011932943155,0.1414163167251824,0.325364430966273,0.25784009707048977,0.9669833942212751,0.04532337103949653,0.07158067491319445
matched_heavy,0.05,0.65,0.05,0.25,hybrid,0.1,12,8,0.23955384305251282,0.14129407737513616,0.3185558072932412,0.26197102040135434,0.9648228738875897,0.04764759657118055,0.07158067491319445
current_almeida,0.2,0.4,0.15,0.25,hybrid,0.1,12,8,0.23903440609368007,0.14065512311290976,0.3123149776929345,0.2656159026934543,0.962636718388822,0.049952813042534724,0.07158067491319445
matched_heavy,0.05,0.65,0.05,0.25,percentile,0.12,12,8,0.23751813410479256,0.1392090336324423,0.29341060984031786,0.2792718665983137,0.9581719161086728,0.05488083902994791,0.07158067491319445
matched_jerman,0.08,0.52,0.05,0.35,percentile,0.08,12,8,0.23678448531972357,0.14049912579229235,0.37560070073334256,0.22922825918944395,0.9767860618146141,0.03430663384331597,0.07158067491319445
no_frangi,0.1,0.55,0.0,0.35,percentile,0.08,12,8,0.23598130153946179,0.14000111022402656,0.3709618544648677,0.2288957243841525,0.9766477690697147,0.034399481879340284,0.07158067491319445
matched_heavy,0.05,0.65,0.05,0.25,percentile,0.08,12,8,0.2358300045296835,0.14011716557907686,0.3735826951431266,0.22915599610414414,0.9769151962723729,0.03414414469401042,0.07158067491319445
matched_jerman,0.08,0.52,0.05,0.35,triangle,0.14,12,4,0.23565814254258605,0.1396256854690781,0.3211062919325589,0.24538555157760097,0.9687834990652029,0.04263352457682292,0.07158067491319445
tuned_hessian_frangi,0.05,0.25,0.2,0.5,percentile,0.1,12,8,0.23290611709571446,0.1365566512487296,0.3218774703078793,0.2509063779118844,0.9674456604449257,0.044127665201822916,0.07158067491319445
matched_jerman,0.08,0.52,0.05,0.35,hybrid,0.1,12,8,0.2325263142452351,0.13660519804110385,0.3058654420707759,0.259507106526451,0.9639503153759744,0.04790519205729167,0.07158067491319445
current_almeida,0.2,0.4,0.15,0.25,percentile,0.08,12,8,0.23244636067428814,0.1375960304433471,0.35799017847515674,0.22581177110833997,0.9763556532313963,0.034431939019097225,0.07158067491319445
tuned_hessian_frangi,0.05,0.25,0.2,0.5,hybrid,0.1,12,8,0.2316612118848309,0.135683667486689,0.31192982870521757,0.2571756083447025,0.9638722162767024,0.04788263617621528,0.07158067491319445
matched_jerman,0.08,0.52,0.05,0.35,percentile,0.12,12,8,0.22994969927503534,0.13415803263588372,0.28553475112771987,0.27473301443838744,0.9578371329929979,0.05450946044921875,0.07158067491319445
current_almeida,0.2,0.4,0.15,0.25,percentile,0.12,12,8,0.22958337911247853,0.13376118808324872,0.28289946555863243,0.27460429112030543,0.9574299361647574,0.0549199693467882,0.07158067491319445
tuned_hessian_frangi,0.05,0.25,0.2,0.5,percentile,0.12,12,8,0.224525017703118,0.13051792550654195,0.279613126956496,0.266409491137603,0.9576346318438684,0.05435074191623264,0.07158067491319445
