phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,dice,f1,cl_precision,cl_recall,cldice,cldice_evaluated,mean_precision,mean_recall,mean_accuracy,mean_dice,mean_f1,tp,fp,fn,tn,sample_count
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,8,0.1,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,0.5121198779236052,0.4756777965212863,0.48907483135164,True,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,8,0.15,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,0.5121198779236052,0.4756777965212863,0.48907483135164,True,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,12,0.1,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,0.5121198779236052,0.4756777965212863,0.48907483135164,True,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,8,0.2,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,,,,False,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,12,0.15,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,,,,False,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,12,0.2,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,,,,False,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,18,0.15,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,,,,False,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,18,0.1,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,,,,False,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,8,0.1,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.0,18,0.2,0.49168850088605254,0.4281467737049379,0.8538033157251376,0.4577229230870439,0.4577229230870439,,,,False,0.5019373796853761,0.4412325615952839,0.8563698874326509,0.469547535419479,0.469547535419479,45226,46755,60406,580605,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,8,0.15,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,8,0.2,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,12,0.1,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,12,0.15,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,12,0.2,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,18,0.1,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,18,0.15,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.3,18,0.2,0.4916002761553045,0.424681914571342,0.8537978586396577,0.45569748838154256,0.45569748838154256,,,,False,0.5023809397322638,0.4365072982199482,0.8563623472339666,0.4671023593533374,0.4671023593533374,44860,46393,60772,580967,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.6,8,0.1,0.488720483250961,0.4212549227506816,0.8530870732559155,0.45248675526992815,0.45248675526992815,,,,False,0.4986797056555303,0.4318336770672938,0.855380236355345,0.4628351673469575,0.4628351673469575,44498,46552,61134,580808,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.6,8,0.15,0.488720483250961,0.4212549227506816,0.8530870732559155,0.45248675526992815,0.45248675526992815,,,,False,0.4986797056555303,0.4318336770672938,0.855380236355345,0.4628351673469575,0.4628351673469575,44498,46552,61134,580808,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.6,8,0.2,0.488720483250961,0.4212549227506816,0.8530870732559155,0.45248675526992815,0.45248675526992815,,,,False,0.4986797056555303,0.4318336770672938,0.855380236355345,0.4628351673469575,0.4628351673469575,44498,46552,61134,580808,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.6,12,0.1,0.488720483250961,0.4212549227506816,0.8530870732559155,0.45248675526992815,0.45248675526992815,,,,False,0.4986797056555303,0.4318336770672938,0.855380236355345,0.4628351673469575,0.4628351673469575,44498,46552,61134,580808,2
full_t1_t2,0.115,1.35,0.55,True,1.1,2.6,12,0.15,0.488720483250961,0.4212549227506816,0.8530870732559155,0.45248675526992815,0.45248675526992815,,,,False,0.4986797056555303,0.4318336770672938,0.855380236355345,0.4628351673469575,0.4628351673469575,44498,46552,61134,580808,2
