phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,dice,f1,cl_precision,cl_recall,cldice,cldice_evaluated,mean_precision,mean_recall,mean_accuracy,mean_dice,mean_f1,tp,fp,fn,tn,sample_count
phase1_threshold_base,0.085,1.25,0.5,False,1.22,2.3,,0.12,0.6677723573420179,0.32125593006071324,0.8870733797858084,0.4338113124956359,0.4338113124956359,,,,False,0.6386325276730703,0.3556061040680969,0.8927232980079934,0.437568352927164,0.437568352927164,1593600,792842,3366931,31082698,100
phase1_threshold_base,0.085,1.25,0.55,False,1.22,2.3,,0.12,0.6677723573420179,0.32125593006071324,0.8870733797858084,0.4338113124956359,0.4338113124956359,,,,False,0.6386325276730703,0.3556061040680969,0.8927232980079934,0.437568352927164,0.437568352927164,1593600,792842,3366931,31082698,100
phase1_threshold_base,0.085,1.45,0.55,False,1.22,2.3,,0.12,0.6339452442302187,0.35888859478954976,0.8857579843409467,0.4583158005571787,0.4583158005571787,,,,False,0.6047495856274044,0.39503749832918567,0.8907675774808926,0.45688072462658397,0.45688072462658397,1780278,1027974,3180253,30847566,100
phase1_threshold_base,0.085,1.35,0.6,False,1.22,2.3,,0.12,0.6520236517838282,0.3403571109625159,0.8867080585223109,0.44724947264439663,0.44724947264439663,,,,False,0.6249378003451106,0.37658669016723967,0.8921475518607429,0.4492189259600331,0.4492189259600331,1688352,901051,3272179,30974489,100
phase1_threshold_base,0.085,1.35,0.55,False,1.22,2.3,,0.12,0.6520476396086317,0.34035267595344126,0.8867103660431103,0.44725128662263464,0.44725128662263464,,,,False,0.6249739264941022,0.3765815317813456,0.8921507611033616,0.4492227476027172,0.4492227476027172,1688330,900944,3272201,30974596,100
phase1_threshold_base,0.095,1.25,0.6,False,1.22,2.3,,0.12,0.6439574950750097,0.34918660925614614,0.8863591613774444,0.45282720449065045,0.45282720449065045,,,,False,0.616951206942215,0.3857405923609968,0.8916584983180976,0.45335931673645413,0.45335931673645413,1732151,957702,3228380,30917838,100
phase1_threshold_base,0.085,1.45,0.5,False,1.22,2.3,,0.12,0.6339452442302187,0.35888859478954976,0.8857579843409467,0.4583158005571787,0.4583158005571787,,,,False,0.6047495856274044,0.39503749832918567,0.8907675774808926,0.45688072462658397,0.45688072462658397,1780278,1027974,3180253,30847566,100
phase1_threshold_base,0.085,1.45,0.6,False,1.22,2.3,,0.12,0.6340890324698654,0.358999268425094,0.8857815753477074,0.458443621917433,0.458443621917433,,,,False,0.6049029756078861,0.3951662235044535,0.8908003872671949,0.45702559401250586,0.45702559401250586,1780827,1027654,3179704,30847886,100
phase1_threshold_base,0.095,1.25,0.5,False,1.22,2.3,,0.12,0.6439808367097615,0.3491827790210363,0.8863615774874579,0.45282975460824393,0.45282975460824393,,,,False,0.616986210819474,0.385736137391361,0.8916618585838986,0.4533640721205442,0.4533640721205442,1732132,957594,3228399,30917946,100
phase1_threshold_base,0.085,1.25,0.6,False,1.22,2.3,,0.12,0.6677492465168821,0.32126379212225464,0.8870716695056864,0.4338136035455554,0.4338136035455554,,,,False,0.6385972627997504,0.3556152484794547,0.8927209193928759,0.43756927173915694,0.43756927173915694,1593639,792944,3366892,31082596,100
phase1_threshold_base,0.085,1.35,0.5,False,1.22,2.3,,0.12,0.6520476396086317,0.34035267595344126,0.8867103660431103,0.44725128662263464,0.44725128662263464,,,,False,0.6249739264941022,0.3765815317813456,0.8921507611033616,0.4492227476027172,0.4492227476027172,1688330,900944,3272201,30974596,100
phase1_threshold_base,0.095,1.25,0.55,False,1.22,2.3,,0.12,0.6439574950750097,0.34918660925614614,0.8863591613774444,0.45282720449065045,0.45282720449065045,,,,False,0.616951206942215,0.3857405923609968,0.8916584983180976,0.45335931673645413,0.45335931673645413,1732151,957702,3228380,30917838,100
phase1_threshold_base,0.095,1.35,0.5,False,1.22,2.3,,0.12,0.6269047790721561,0.3715828003090798,0.8855939060384589,0.4665997617699648,0.4665997617699648,,,,False,0.5990810066434815,0.40733061331520853,0.8904653476061171,0.46421100619029604,0.46421100619029604,1843248,1096988,3117283,30778552,100
phase1_threshold_base,0.095,1.35,0.55,False,1.22,2.3,,0.12,0.62700159420211,0.3716932723533025,0.8856122576156399,0.46671367226215504,0.46671367226215504,,,,False,0.5991932121746919,0.4074556477152042,0.8904908038531538,0.46432433591553157,0.46432433591553157,1843796,1096860,3116735,30778680,100
phase1_threshold_base,0.095,1.35,0.6,False,1.22,2.3,,0.12,0.62700159420211,0.3716932723533025,0.8856122576156399,0.46671367226215504,0.46671367226215504,,,,False,0.5991932121746919,0.4074556477152042,0.8904908038531538,0.46432433591553157,0.46432433591553157,1843796,1096860,3116735,30778680,100
phase1_threshold_base,0.095,1.45,0.5,False,1.22,2.3,,0.12,0.607792661549565,0.38995784927057203,0.8839616744141904,0.47509576097432066,0.47509576097432066,,,,False,0.580728139903915,0.42593402293397203,0.8885329687717812,0.4705526388304917,0.4705526388304917,1934398,1248263,3026133,30627277,100
phase1_threshold_base,0.095,1.45,0.55,False,1.22,2.3,,0.12,0.6078888504916591,0.3900733610978341,0.8839808675577805,0.4752108733806824,0.4752108733806824,,,,False,0.5808416448301392,0.426062974965578,0.8885595846432224,0.47066692263160126,0.47066692263160126,1934971,1248129,3025560,30627411,100
phase1_threshold_base,0.095,1.45,0.6,False,1.22,2.3,,0.12,0.6078284646538519,0.390047355817351,0.8839710402339055,0.47517312387989047,0.47517312387989047,,,,False,0.5807811951880998,0.4260296450771943,0.8885461039909377,0.47062207852307447,0.47062207852307447,1934842,1248362,3025689,30627178,100
phase1_threshold_base,0.105,1.25,0.5,False,1.22,2.3,,0.12,0.6205872786973857,0.3777273037906627,0.8851029199069576,0.46961701984745763,0.46961701984745763,,,,False,0.5932911544252734,0.41374362937874587,0.8899133037835466,0.4667885588830479,0.4667885588830479,1873728,1145554,3086803,30729986,100
phase1_threshold_base,0.105,1.25,0.55,False,1.22,2.3,,0.12,0.6205872786973857,0.3777273037906627,0.8851029199069576,0.46961701984745763,0.46961701984745763,,,,False,0.5932911544252734,0.41374362937874587,0.8899133037835466,0.4667885588830479,0.4667885588830479,1873728,1145554,3086803,30729986,100
phase1_threshold_base,0.105,1.25,0.6,False,1.22,2.3,,0.12,0.6205872786973857,0.3777273037906627,0.8851029199069576,0.46961701984745763,0.46961701984745763,,,,False,0.5932911544252734,0.41374362937874587,0.8899133037835466,0.4667885588830479,0.4667885588830479,1873728,1145554,3086803,30729986,100
phase1_threshold_base,0.105,1.35,0.5,False,1.22,2.3,,0.12,0.6012327554106737,0.39775943341549524,0.8833727679588846,0.4787745145915241,0.4787745145915241,,,,False,0.5744190625223964,0.4340024680584053,0.8878248710316362,0.47316619814129324,0.47316619814129324,1973098,1308656,2987433,30566884,100
phase1_threshold_base,0.105,1.35,0.6,False,1.22,2.3,,0.12,0.6011536019363402,0.3977451204316635,0.8833603887884786,0.4787390482055478,0.4787390482055478,,,,False,0.5743313703819986,0.4339645667158966,0.887807923858531,0.4731083570237739,0.4731083570237739,1973027,1309041,2987504,30566499,100
phase1_threshold_base,0.105,1.35,0.55,False,1.22,2.3,,0.12,0.6011536019363402,0.3977451204316635,0.8833603887884786,0.4787390482055478,0.4787390482055478,,,,False,0.5743313703819986,0.4339645667158966,0.887807923858531,0.4731083570237739,0.4731083570237739,1973027,1309041,2987504,30566499,100
phase1_threshold_base,0.105,1.45,0.5,False,1.22,2.3,,0.12,0.5777525349175335,0.4175133670165553,0.880468060776623,0.48473358865607763,0.48473358865607763,,,,False,0.5501392567675839,0.45348621071577144,0.8846406080814893,0.47635081463337187,0.47635081463337187,2071088,1513644,2889443,30361896,100
phase1_threshold_base,0.105,1.45,0.55,False,1.22,2.3,,0.12,0.5776965224291258,0.41755126618501126,0.8804599980274769,0.48473941297945594,0.48473941297945594,,,,False,0.5500981339467487,0.4535323410773911,0.8846297046337652,0.4763533106124218,0.4763533106124218,2071276,1514129,2889255,30361411,100
phase1_threshold_base,0.105,1.45,0.6,False,1.22,2.3,,0.12,0.5776965224291258,0.41755126618501126,0.8804599980274769,0.48473941297945594,0.48473941297945594,,,,False,0.5500981339467487,0.4535323410773911,0.8846297046337652,0.4763533106124218,0.4763533106124218,2071276,1514129,2889255,30361411,100
phase1_threshold_base,0.115,1.25,0.5,False,1.22,2.3,,0.12,0.5959572470566926,0.4019446708426981,0.8827656185156121,0.48009094923630286,0.48009094923630286,,,,False,0.5687870856042617,0.4378964703018829,0.8871426055244407,0.47382579479734965,0.47382579479734965,1993859,1351782,2966672,30523758,100
phase1_threshold_base,0.115,1.25,0.55,False,1.22,2.3,,0.12,0.5959717714964083,0.4019781350020794,0.8827692834015876,0.48011953237329086,0.48011953237329086,,,,False,0.5688043608250538,0.43793933334670837,0.8871476951585526,0.4738592406631086,0.4738592406631086,1994025,1351813,2966506,30523727,100
phase1_threshold_base,0.115,1.25,0.6,False,1.22,2.3,,0.12,0.5959327650425561,0.4019781350020794,0.8827633381421162,0.48010687420635284,0.48010687420635284,,,,False,0.5687632836297147,0.43793933334670837,0.8871395397363142,0.47384151226239896,0.47384151226239896,1994025,1352032,2966506,30523508,100
phase1_threshold_base,0.115,1.35,0.5,False,1.22,2.3,,0.12,0.571273080501734,0.4220622751878781,0.8795171450288496,0.48546105749504864,0.48546105749504864,,,,False,0.5434014917711445,0.45797145692908714,0.8835717029519425,0.4761501712574026,0.4761501712574026,2093653,1571237,2866878,30304303,100
phase1_threshold_base,0.115,1.35,0.55,False,1.22,2.3,,0.12,0.5712916809114787,0.4220975536691536,0.8795215700393236,0.485491109728149,0.485491109728149,,,,False,0.5434231393130171,0.45801664387393326,0.8835778482138701,0.4761859379528278,0.4761859379528278,2093828,1571249,2866703,30304291,100
phase1_threshold_base,0.115,1.45,0.5,False,1.22,2.3,,0.12,0.5490318712047056,0.44188394347298704,0.8759635087031947,0.4896649437756723,0.4896649437756723,,,,False,0.5215231199921755,0.4775812878298762,0.8797036475178688,0.4776723095253754,0.4776723095253754,2191979,1800465,2768552,30075075,100
phase1_threshold_base,0.115,1.35,0.6,False,1.22,2.3,,0.12,0.5712572347459879,0.4220975536691536,0.8795155704852453,0.4854786710935262,0.4854786710935262,,,,False,0.5433854098315402,0.45801664387393326,0.8835696183128897,0.47616852818629174,0.47616852818629174,2093828,1571470,2866703,30304070,100
phase1_threshold_base,0.115,1.45,0.55,False,1.22,2.3,,0.12,0.549048528574198,0.44192103627615675,0.8759676893879371,0.48969434242927296,0.48969434242927296,,,,False,0.5215432127867922,0.47762879867474295,0.8797094534708556,0.47770734502180673,0.47770734502180673,2192163,1800495,2768368,30075045,100
